ID	Origin	destination	SP_time
176	8	16	5
177	8	17	7
178	8	18	5
179	8	19	9
180	8	20	9
181	8	21	15
182	8	22	14
183	8	23	18
184	8	24	18
185	9	1	15
186	9	2	14
187	9	3	11
188	9	4	7
189	9	5	5
190	9	6	9
191	9	7	12
192	9	8	10
193	9	10	3
194	9	11	8
195	9	12	14
196	9	13	17
197	9	14	12
198	9	15	9
199	9	16	7
200	9	17	9
201	9	18	10
202	9	19	11
203	9	20	14
204	9	21	14
205	9	22	12
206	9	23	16
207	9	24	17
208	10	1	18
209	10	2	16
210	10	3	14
211	10	4	10
212	10	5	8
213	10	6	11
214	10	7	9
215	10	8	9
216	10	9	3
217	10	11	5
218	10	12	11
219	10	13	14
220	10	14	9
221	10	15	6
222	10	16	4
223	10	17	6
224	10	18	7
225	10	19	8
226	10	20	11
227	10	21	11
228	10	22	9
229	10	23	13
230	10	24	14
231	11	1	14
232	11	2	17
233	11	3	10
234	11	4	6
235	11	5	8
236	11	6	12
237	11	7	14
238	11	8	14
239	11	9	8
240	11	10	5
241	11	12	6
242	11	13	9
243	11	14	4
244	11	15	9
245	11	16	9
246	11	17	11
247	11	18	12
248	11	19	12
249	11	20	16
250	11	21	13
251	11	22	12
252	11	23	8
253	11	24	10
254	12	1	8
255	12	2	14
256	12	3	4
257	12	4	8
258	12	5	10
259	12	6	14
260	12	7	19
261	12	8	16
262	12	9	14
263	12	10	11
264	12	11	6
265	12	13	3
266	12	14	10
267	12	15	15
268	12	16	15
269	12	17	17
270	12	18	18
271	12	19	18
272	12	20	16
273	12	21	10
274	12	22	12
275	12	23	9
276	12	24	7
277	13	1	11
278	13	2	17
279	13	3	7
280	13	4	11
281	13	5	13
282	13	6	17
283	13	7	19
284	13	8	19
285	13	9	17
286	13	10	14
287	13	11	9
288	13	12	3
289	13	14	10
290	13	15	12
291	13	16	18
292	13	17	17
293	13	18	17
294	13	19	15
295	13	20	13
296	13	21	7
297	13	22	9
298	13	23	6
299	13	24	4
300	14	1	18
301	14	2	21
302	14	3	14
303	14	4	10
304	14	5	12
305	14	6	16
306	14	7	17
307	14	8	17
308	14	9	12
309	14	10	9
310	14	11	4
311	14	12	10
312	14	13	10
313	14	15	5
314	14	16	12
315	14	17	10
316	14	18	15
317	14	19	8
318	14	20	12
319	14	21	9
320	14	22	8
321	14	23	4
322	14	24	6
323	15	1	23
324	15	2	19
325	15	3	19
326	15	4	15
327	15	5	14
328	15	6	14
329	15	7	12
330	15	8	12
331	15	9	9
332	15	10	6
333	15	11	9
334	15	12	15
335	15	13	12
336	15	14	5
337	15	16	7
338	15	17	5
339	15	18	10
340	15	19	3
341	15	20	7
342	15	21	5
343	15	22	3
344	15	23	7
345	15	24	8
346	16	1	18
347	16	2	12
348	16	3	17
349	16	4	13
350	16	5	11
351	16	6	7
352	16	7	5
353	16	8	5
354	16	9	7
355	16	10	4
356	16	11	9
357	16	12	15
358	16	13	18
359	16	14	12
360	16	15	7
361	16	17	2
362	16	18	3
363	16	19	4
364	16	20	7
365	16	21	12
366	16	22	10
367	16	23	14
368	16	24	15
369	17	1	20
370	17	2	14
371	17	3	19
372	17	4	15
373	17	5	13
374	17	6	9
375	17	7	7
376	17	8	7
377	17	9	9
378	17	10	6
379	17	11	11
380	17	12	17
381	17	13	17
382	17	14	10
383	17	15	5
384	17	16	2
385	17	18	5
386	17	19	2
387	17	20	6
388	17	21	10
389	17	22	8
390	17	23	12
391	17	24	13
392	18	1	18
393	18	2	12
394	18	3	17
395	18	4	13
396	18	5	11
397	18	6	7
398	18	7	2
399	18	8	5
400	18	9	10
401	18	10	7
402	18	11	12
403	18	12	18
404	18	13	17
405	18	14	15
406	18	15	10
407	18	16	3
408	18	17	5
409	18	19	7
410	18	20	4
411	18	21	10
412	18	22	9
413	18	23	13
414	18	24	13
415	19	1	22
416	19	2	16
417	19	3	21
418	19	4	17
419	19	5	15
420	19	6	11
421	19	7	9
422	19	8	9
423	19	9	11
424	19	10	8
425	19	11	12
426	19	12	18
427	19	13	15
428	19	14	8
429	19	15	3
430	19	16	4
431	19	17	2
432	19	18	7
433	19	20	4
434	19	21	8
435	19	22	6
436	19	23	10
437	19	24	11
438	20	1	22
439	20	2	16
440	20	3	20
441	20	4	17
442	20	5	15
443	20	6	11
444	20	7	6
445	20	8	9
446	20	9	14
447	20	10	11
448	20	11	16
449	20	12	16
450	20	13	13
451	20	14	12
452	20	15	7
453	20	16	7
454	20	17	6
455	20	18	4
456	20	19	4
457	20	21	6
458	20	22	5
459	20	23	9
460	20	24	9
461	21	1	18
462	21	2	22
463	21	3	14
464	21	4	18
465	21	5	19
466	21	6	17
467	21	7	12
468	21	8	15
469	21	9	14
470	21	10	11
471	21	11	13
472	21	12	10
473	21	13	7
474	21	14	9
475	21	15	5
476	21	16	12
477	21	17	10
478	21	18	10
479	21	19	8
480	21	20	6
481	21	22	2
482	21	23	5
483	21	24	3
484	22	1	20
485	22	2	21
486	22	3	16
487	22	4	18
488	22	5	17
489	22	6	16
490	22	7	11
491	22	8	14
492	22	9	12
493	22	10	9
494	22	11	12
495	22	12	12
496	22	13	9
497	22	14	8
498	22	15	3
499	22	16	10
500	22	17	8
501	22	18	9
502	22	19	6
503	22	20	5
504	22	21	2
505	22	23	4
506	22	24	5
507	23	1	17
508	23	2	23
509	23	3	13
510	23	4	14
511	23	5	16
512	23	6	20
513	23	7	15
514	23	8	18
515	23	9	16
516	23	10	13
517	23	11	8
518	23	12	9
519	23	13	6
520	23	14	4
521	23	15	7
522	23	16	14
523	23	17	12
524	23	18	13
525	23	19	10
526	23	20	9
527	23	21	5
528	23	22	4
529	23	24	2
530	24	1	15
531	24	2	21
532	24	3	11
533	24	4	15
534	24	5	17
535	24	6	20
536	24	7	15
537	24	8	18
538	24	9	17
539	24	10	14
540	24	11	10
541	24	12	7
542	24	13	4
543	24	14	6
544	24	15	8
545	24	16	15
546	24	17	13
547	24	18	13
548	24	19	11
549	24	20	9
550	24	21	3
551	24	22	5
552	24	23	2
