ID	Origin	destination	SP_time
465	876	356	70
466	770	153	37
467	257	647	71
468	911	393	97
469	573	783	73
470	271	428	57
471	119	837	14
472	816	901	64
473	777	641	48
474	131	281	35
475	531	381	77
476	851	368	110
477	931	1	78
478	272	61	37
479	231	39	19
480	654	472	29
481	330	818	33
482	457	254	61
483	510	880	61
484	365	466	49
485	723	576	50
486	627	778	26
487	477	603	36
488	823	900	51
489	819	213	57
490	172	385	109
491	770	531	51
492	667	270	36
493	882	898	51
494	599	554	9
495	699	366	70
496	860	855	31
497	535	273	36
498	866	854	58
499	737	582	47
500	595	758	27
